Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
How will it look like near and during ovulation?," A few days before and during ovulation, it will be clear, wet, slippery, and stretchy. There is a lot of cervical fluid during the days right before ovulation. Your vagina will likely start to feel much wetter. There is more cervical fluid during this time and this is typically very slippery. This is caused by estrogen peaking one to two days before ovulation. Discharge may look like raw egg whites that can be stretched for inches between your thumb and finger",ovulation ke qareeb aur douran yeh kaisa nazar aaye ga ?,"beza daani/ovary se kuch din pehlay aur is ke douran, yeh saaf, geela, phisalna aur khainchta sun-hwa hoga. beza daani/ovary se pehlay ke dinon mein cervical fluid bohat ziyada hota hai. aap ki andaam nihani/vagina bohat ziyada giili mehsoos karne lagey gi. is douran cervical seyal/fluid ziyada hota hai aur yeh aam tor par bohat phisalta hai. yeh ovulation se aik se do din pehlay estrogen ki chouti ki wajah se hota hai. kharij honay wala madah/fluid kachay anday ki safedi ki terhan nazar aata hai jisay aap ke angothay aur ungli ke darmiyan inch tak phelaya ja sakta hai ."
What does it look like when ovulation is over and periods are yet to come,"After ovulation until the start of the next period bleeding, the discharge is sticky and dry. As soon as ovulation is over, vaginal discharge decreases. The hormone progesterone is higher and this decreases the release of fluid from the cervix and discharge may become tacky, dry, or absent ",jab beza khatam ho gaya ho aur mahvari aana baqi ho to yeh kaisa lagta hai ?,"ovulation ke baad agli muddat ke khoon ke aaghaz tak, kharij honay wala madah/fluid chip chapa aur khushk hota hai. jaisay hi beza khatam hota hai, andaam nihani/vagina se kharij honay wala madah/fluid kam hojata hai. hormone progestrone ziyada hota hai aur is se garewa se seyal/fluid ke ikhraj mein kami aati hai aur kharij honay wala madah/fluid mushkil, khushk ya ghair haazir ho sakta hai ."
Okay,Is there anything else I can help you with?,theek hai,kya koi aur cheez hai jis mein mein aap ki madad kar sakti hon ?
Yes,What more questions do you have for me?,jee haan,aap ke paas mere liye mazeed kya sawalaat hain ?
I have a yeast infection?,"Vaginal yeast infections happen when too much of a fungus called candida grows in the vagina. You may have a yeast infection if you have burning, itching, redness, and notice white, clumpy discharge that seems uncommon for you",mujhe khameer/yeast ka infection hai ?,"andaam nihani/vagina ke khameer/yeast ke infection is waqt hotay hain jab andaam nihani/vagina mein candida Nami fungus ki bohat ziyada nashonuma hoti hai. aap ko khameer/yeast ka infection ho sakta hai agar aap ko jalan, kharish, laali, aur safaid, be tarteebi kharij honay wala madah/fluid nazar aata hai jo aap ke liye ghair mamooli lagta hai ."
Is it ok for discharge to smell?,"Vaginal discharge has a subtle smell. If your discharge starts to have a very strong odor or “fishy” smell, this could be related to an overgrowth of bacterial cells. Pain, itching, or burning around the vulva or vagina are not typical, and following up with your healthcare provider can help",kya kharij honay walay madah/fluid se badboo aana theek hai ?,"andaam nihani/vagina se kharij honay walay madah/fluid mein aik lateef bo hoti hai. agar aap ke kharij honay walay madah/fluid se bohat taiz badboo ya"" machhli"" bo anay lagti hai, to is ka talluq bacterial khaliyaat ki zayad-ti se ho sakta hai. volva ya andaam nihani/vagina ke ird gird dard, kharish, ya jalna aam nahi hain, aur –apne health care faraham kanandah ke sath pairwi karne mein madad mil sakti hai ."
How do I get rid of vaginal discharge? ,"Discharge is a part of the menstrual cycle. There is no need to get rid of the discharge that is typical for your body. If you feel like you are having an increased amount or the odor of your discharge is stronger than you expect, you can reach out to a healthcare provider for guidance. Washing with unscented soaps, not cleaning the inside of the vagina with a douche, and cleaning all menstrual cups, sex toys, diaphragms, as well as using condoms during sex can help prevent infections and keep the vaginal microorganisms in the common range",mein andaam nihani/vagina se kharij honay walay madah/fluid se kaisay chhutkara haasil karoon ?,"kharij hona mahvari ka aik hissa hai. kharij honay walay madah/fluid se chhutkara haasil karne ki zaroorat nahi hai jo aap ke jism ke liye aam hai. agar aap ko lagta hai ke aap ki miqdaar mein izafah ho raha hai ya aap ke kharij honay walay madah/fluid ki bo aap ki tawaqqa se ziyada mazboot hai, to aap rahnumai ke liye sehat ki dekh bhaal faraham karne walay se rabita kar satke hain. baghair khushbu walay sabun se dhona, andaam nihani/vagina ke andar ko dotch se saaf nah karna, aur haiz ke tamam cupp, jinsi khilonay, daya frame, neez jinsi taluqaat ke douran kndom ka istemaal infection ko roknay aur andaam nihani/vagina ke microorganism ko aam range mein rakhnay mein madad day sakta hai ."
When should I worry about my vaginal discharge?,"There are times when changes in vaginal discharge are signs of infections or changes in hormones. Consider talking to your healthcare provider if you see any of the following:

Consistency: unusually thin, or thick and more textured/chunky
Color: gray, green, yellow, or brown
Volume: significant and unexpected in volume
Smell: fishy, metallic, or foul
Pain, itching, redness, or swelling of the vulva
If you feel embarrassed to talk to your healthcare provider about any changes in your body–remember that every body is different and only you know what is out of the ordinary for you.",mujhe apne andaam nihani/vagina se kharij honay walay madah/fluid ke baray mein kab fikar karni chahiye ?,"aisay auqaat hotay hain jab andaam nihani/vagina se kharij honay walay madah/fluid mein tabdeeli infection ya hormones mein tabdeeli ki alamat hoti hai. agar aap ko darj zail mein se koi nazar aata hai to –apne health care faraham kanandah se baat karne par ghhor karen :
 
 mustaqil mizaji : ghair mamooli tor par patla, ya mota aur ziyada banawat wala chinky
 rang : surmai, sabz, peela, ya bhoora
 hajam : hajam mein ahem aur ghair mutawaqqa
 bo : machhli, dhaati, ya ganda .
 dard, kharish, laali, ya volva ki soojan
 agar aap –apne sehat ki dekh bhaal faraham karne walay se –apne jism mein honay wali kisi bhi tabdeeli ke baray mein baat karne mein sharam mehsoos karte hain – yaad rakhen ke har jism mukhtalif hota hai aur sirf aap hi jantay hain ke aap ke liye kya mamool se bahar hai ."
Tell me something about menstrual health that I should know,Would you like to know about Bacterial Vaginosis?,mujhe mahvari ki sehat ke baray mein kuch bitayen jo mujhe maloom hona chahiye .,kya aap bacterial vaginosis ke baray mein janna chahain ge ?
"Yes, what is BV?","It’s common not to have heard about bacterial vaginosis (BV) until you notice an issue with your own fluid. BV happens when the normal balance of vaginal bacteria is replaced by high numbers of anaerobic bacteria (bacteria that don’t need oxygen to grow). The most common type of BV-causing bacteria is called Gardnerella. The digestion processes of the new bacterial community create different byproducts and environmental changes, which can lead to symptoms from a fishy or unpleasant odor to itching, discomfort and inflammation. An immune response is also triggered in the vagina and can degrade the vagina’s naturally protective mucus. This can make the reproductive tract more prone to sexually transmitted infections (STIs) like HIV and chlamydia. 

","jee haan, bv kya hai ?","yeh aam baat hai ke bacterial viogosis ( bv ) ke baray mein is waqt tak nahi suna hai jab tak ke aap ko –apne seyal/fluid ke sath koi masla mehsoos nah ho. bv is waqt hota hai jab andaam nihani/vagina ke bacteria ke mamool ke tawazun ko ziyada tadaad mein anorbik bacteria ( bacteria jin ko bherne ke liye oxygen ki zaroorat nahi hoti ) se badal diya jata hai. bv peda karne walay bacteria ki sab se aam qisam ko gardnerella kaha jata hai. naye bacterial community ke amal inhizam ke amal mukhtalif zimni masnoaat aur maholiyati tabdeelian peda karte hain, jo machhli ya nakhushgawaar badboo se le kar kharish, takleef aur soozish tak alamaat ka baais ban satke hain. andaam nihani/vagina mein mdafati rad-e-amal bhi shuru hota hai aur andaam nihani/vagina ke qudrati tor par hifazati balgham ko kharab kar sakta hai. yeh toleedi rastay ko jinsi tor par muntaqil honay walay infection ( stis ) jaisay hiv aur chlamydia ka ziyada khatrah bana sakta hai ."
Are there any impacts of bacterial vaginosis other than on your body?,"In many cases, the most significant impacts of symptomatic BV are emotional and social. This is especially true for people whose BV is recurrent (having it multiple times, despite treatment). One study found that, depending on the severity and frequency of symptoms, BV can lead people to feel “…embarrassed, ashamed, “dirty” and ""very concerned"" others may detect their malodor and abnormal discharge”. It can affect a person’s self-esteem and sex life, and they may avoid sexual activity (especially receptive oral sex) altogether. Recurrent symptoms, without an understanding of the reason, can be frustrating and make someone feel out of control.",kya aap ke jism ke ilawa bacterial vaginosis ke koi asraat hain ?,"bohat se mamlaat mein, allamti bv ke sab se ahem asraat jazbati aur samaji hotay hain. yeh khaas tor par un logon ke liye durust hai jin ka bv baar baar hota hai ( ilaaj ke bawajood usay kayi baar hona ). aik tehqeeq se pata chala hai ke alamaat ki shiddat aur tadad par munhasir hai, bv logon ko "". .. sharminda, sharminda,"" gandi"" aur"" bohat fikar mand"" mehsoos kar sakta hai doosron ko un ki kharabi aur ghair mamooli madah/fluid ka pata lag sakta hai. yeh kisi shakhs ki khud itmadi aur jinsi zindagi ko mutasir kar sakta hai, aur woh jinsi sargarmi ( khaas tor par qubool karne wali zabani jinsi ) se yaksar guraiz kar satke hain. baar baar honay wali alamaat, wajah ko samjhay baghair, mayoos kin hosakti hain aur kisi ko qaboo se bahar honay ka ehsas dilaati hain ."
"Hello, are you an expert                                                                                                                                                                                                        ","Hello! My name is Mai. Yes, I have adequate knowledge about menstrual health. How can I help?","hello, kya aap maahir hain ?","hello! mera naam maai hai. haan, mujhe mahvari ki sehat ke baray mein kaafi ilm hai. mein kis terhan madad kar sakta hon ?"
Can untreated BV lead to complications?,"While BV doesn’t usually lead to health complications, untreated BV can sometimes lead to pelvic inflammatory disease, infection after gynecologic surgery and pregnancy complications including miscarriage and preterm birth",kya ilaaj nah kya jane wala bv pechidgion ka baais ban sakta hai ?,"agarchay bv aam tor par sehat ki pechidgion ka baais nahi bantaa, lekin ilaaj nah kya jane wala bv baaz auqaat shoroni soozish ki bemari, gynacologyst surgery ke baad infection aur hamal ki pechidgion Bashmole isqaat hamal aur qabal az waqt paidaiesh ka baais ban sakta hai ."
How common is this?,"Bacterial vaginosis is commonly seen in women of reproductive age, although the disease is not limited to any age. The prevalence of BV varies widely amongst demographics, and is tied to sociodemographic characteristics including race, ethnicity, education and income",yeh kitna aam hai ?,"bacterial viogosis aam tor par toleedi Umar ki khawateen mein dekha jata hai, halaank yeh bemari kisi bhi Umar tak mehdood nahi hai. bv ka phelao abadi ke lehaaz se wasee pemanay par mukhtalif hota hai, aur yeh nasal, nasal, taleem aur aamdani samait samaji aabadyati khususiyaat se munsalik hai ."
What are the causes for bacterial vaginosis,"Vaginal homeostasis can be disrupted by both internal factors (ex. antibiotics, diet) and external factors (ex. soap, semen), but it isn’t fully understood why one person gets recurrent BV in a particular situation when another doesn’t. Prolonged or irregular uterine bleeding may also be a contributor. This may happen because uterine blood changes the pH of the vagina to be slightly less acidic. Recurrent BV may pop up around the time of menstruation for the same reason. The use of hormonal contraceptives in general, including “the pill”, has been shown to have a protective effect against BV.",bacterial vaginosis ki wajohaat kya hain ?,"andaam nihani/vagina homeostatus ko androoni awamil ( maslan anti biotics, khoraak ) aur bairooni awamil ( misaal ke tor par sabun, money ) dono se mutasir kya ja sakta hai, lekin yeh poori terhan se samajh mein nahi aata hai ke 1 shakhs ko kisi khaas soorat e haal mein baar baar bv kyun hota hai jab dosray ko aisa nahi hota hai. bacha daani/uterus ka taweel ya be qaida khoon behna bhi aik Muawin ho sakta hai. aisa is liye ho sakta hai kyunkay bacha daani/uterus ka khoon andaam nihani/vagina ke pi each ko qadray kam tezabiyat mein badal deta hai. baar baar bv isi wajah se mahvari ke waqt ke aas paas paap up ho sakta hai. aam tor par hormonal Maney hamal adwiyaat ka istemaal, Bashmole "" goli "", bv ke khilaaf hifazati assar dekhata hai ."
